year,value,country,mnemonic,varlabel,title,subtitle,wbcountry_name,wbccode,wbregion_name,wbincome_name,wblending,countryid,indicatorid,date
2018,13.074325,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2008,-1.8085994,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2011,4.9671335,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2007,8.3247099,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2005,59.403767,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2012,3.6521118,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2007,,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2009,2.8167505,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2014,-7.6584296,"AFG","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,228,"14 Aug 2024"
2013,6.1202393,"AFG","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,207,"14 Aug 2024"
2023,9.0489264,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2005,12.991724,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2015,4.7159863,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2011,168.009,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2021,8.3184118,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2009,.68715811,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2026,54.549995,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2023,5,"AFG","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,204,"14 Aug 2024"
2013,7.8265519,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2013,-39.294067,"AFG","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,209,"14 Aug 2024"
2023,2.2667751,"AFG","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,205,"14 Aug 2024"
2024,7.3000002,"AFG","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,209,"14 Aug 2024"
2020,31.989559,"AFG","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,220,"14 Aug 2024"
2026,3.5,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2017,-.21770374,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2022,3,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2024,-13.339975,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2014,7.7711406,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2017,2.6470032,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2009,9.3457336,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2006,3.6611526,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2009,-.22644224,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2015,-1.5332437,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2010,51.847202,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2014,26.331141,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2023,3.5,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2015,100,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2017,3.3339343,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2011,9.8076706,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2021,-.09788,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2023,50.818031,"AFG","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,223,"14 Aug 2024"
2014,-.15720271,"AFG","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,206,"14 Aug 2024"
2016,7.8018961,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2009,20.989704,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2024,1.265142,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2008,3.4878461,"AFG","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,206,"14 Aug 2024"
2014,1.9112439,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2023,-5.2626839,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2022,2.1992419,"AFG","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,205,"14 Aug 2024"
2026,-.64761162,"AFG","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,206,"14 Aug 2024"
2018,-4.4153113,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2021,9.6646013,"AFG","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,207,"14 Aug 2024"
2021,2.2683272,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2022,-.19727,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2025,3.5,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2011,22.735357,"AFG","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,222,"14 Aug 2024"
2006,49.93,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2024,2.4717882,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2008,99.36248,"AFG","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,221,"14 Aug 2024"
2005,17.189245,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2026,3.04,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2026,7.3000002,"AFG","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,209,"14 Aug 2024"
2025,4.4499998,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2026,33.350822,"AFG","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,220,"14 Aug 2024"
2019,3.7424474,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2024,87.807953,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2025,1.95,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2018,9.9746351,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2013,15.464702,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2015,4.1711216,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2010,6.2706013,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2009,6.1071415,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2007,42.492207,"AFG","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,220,"14 Aug 2024"
2014,61.236351,"AFG","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,225,"14 Aug 2024"
2009,9.3457336,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2015,8.2816687,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2012,20.778158,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2020,5.5999999,"AFG","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,204,"14 Aug 2024"
2014,58.07,"AFG","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Afghanistan","AFG","South Asia","Low income","IDA",1,218,"14 Aug 2024"
2007,8.3247099,"AFG","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,216,"14 Aug 2024"
2017,5.3423328,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2011,-7.5923233,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2006,3.5379434,"AFG","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,205,"14 Aug 2024"
2018,5.7890949,"AFG","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,207,"14 Aug 2024"
2026,-2.3958344,"AFG","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Afghanistan","AFG","South Asia","Low income","IDA",1,211,"14 Aug 2024"
2023,-9.1880121,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2026,3.04,"AFG","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,228,"14 Aug 2024"
2006,12.829632,"AFG","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,204,"14 Aug 2024"
2017,2.5909529,"AFG","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Afghanistan","AFG","South Asia","Low income","IDA",1,205,"14 Aug 2024"
2009,9.3457336,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2024,4.4499998,"AFG","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,201,"14 Aug 2024"
2022,3.1417742,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2007,12.217443,"AFG","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,228,"14 Aug 2024"
2024,3.5,"AFG","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,214,"14 Aug 2024"
2009,40.900135,"AFG","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,220,"14 Aug 2024"
2014,4.5301538,"AFG","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,227,"14 Aug 2024"
2006,2.2619977,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2005,0,"AFG","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Afghanistan","AFG","South Asia","Low income","IDA",1,217,"14 Aug 2024"
2006,13.667543,"AFG","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,215,"14 Aug 2024"
2008,14.33248,"AFG","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,224,"14 Aug 2024"
2010,8.0257406,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2024,4.7559185,"AFG","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,226,"14 Aug 2024"
2014,-.20369481,"AFG","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,210,"14 Aug 2024"
2005,0,"AFG","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Afghanistan","AFG","South Asia","Low income","IDA",1,203,"14 Aug 2024"
2011,4.9671335,"AFG","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,213,"14 Aug 2024"
2024,3.04,"AFG","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,212,"14 Aug 2024"
2024,-.7297222,"AFG","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,208,"14 Aug 2024"
2025,85.485855,"AFG","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Afghanistan","AFG","South Asia","Low income","IDA",1,219,"14 Aug 2024"
2019,12.925156,"AFG","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,224,"14 Aug 2024"
2007,87.071365,"AFG","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,223,"14 Aug 2024"
2018,2.7067652,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2021,-1.218052,"AFG","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Afghanistan","AFG","South Asia","Low income","IDA",1,202,"14 Aug 2024"
2025,7.3000002,"AFG","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,209,"14 Aug 2024"
2024,32.456478,"AFG","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Afghanistan","AFG","South Asia","Low income","IDA",1,220,"14 Aug 2024"
2006,14.898647,"AFG","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Afghanistan","AFG","South Asia","Low income","IDA",1,228,"14 Aug 2024"
2016,-1.6460307,"AFG","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Afghanistan","AFG","South Asia","Low income","IDA",1,229,"14 Aug 2024"
